tid,uid,fechacompra
1,1,2020-03-02
2,1,2019-11-04
3,2,2018-12-23
4,2,2019-11-09
5,2,2020-01-20
6,2,2018-09-04
7,3,2020-08-05
8,3,2019-01-09
9,3,2020-12-19
10,3,2018-02-09
11,3,2018-05-22
12,4,2019-11-08
13,4,2018-05-04
14,4,2020-12-07
15,4,2019-03-11
16,5,2020-05-16
17,5,2018-06-09
18,5,2019-03-24
19,5,2019-09-18
20,6,2019-02-17
21,6,2020-02-27
22,6,2019-07-11
23,6,2020-02-28
24,7,2020-08-12
25,8,2020-05-11
26,8,2018-12-13
27,8,2018-11-05
28,8,2020-04-01
29,8,2020-12-22
30,9,2019-02-04
31,9,2018-07-01
32,9,2020-07-10
33,9,2020-10-08
34,9,2018-08-15
35,9,2019-02-18
36,10,2020-02-10
37,10,2018-08-15
38,10,2018-11-20
39,11,2020-05-20
40,11,2018-01-12
41,11,2020-05-08
42,11,2018-07-09
43,11,2018-10-19
44,11,2019-04-15
45,12,2019-01-26
46,12,2020-08-14
47,13,2019-09-04
48,13,2018-03-12
49,13,2019-12-12
50,13,2019-07-18
51,13,2020-02-27
52,13,2018-07-10
53,14,2018-05-10
54,15,2020-10-16
55,15,2020-10-15
56,15,2018-03-05
57,16,2019-07-22
58,16,2020-08-22
59,16,2018-05-05
60,16,2020-02-10
61,17,2019-08-25
62,17,2019-12-10
63,18,2020-09-25
64,18,2020-06-11
65,18,2020-09-08
66,18,2020-10-16
67,19,2019-09-26
68,19,2020-10-18
69,19,2020-03-18
70,20,2018-12-19
71,20,2018-10-14
72,20,2020-04-02
73,20,2019-05-22
74,20,2020-10-08
75,20,2020-02-14
76,20,2020-05-05
77,21,2019-03-19
78,21,2020-03-19
79,22,2019-05-06
80,22,2019-06-14
81,23,2018-12-22
82,23,2018-02-01
83,23,2018-12-27
84,23,2019-04-11
85,24,2018-08-05
86,24,2020-02-02
87,24,2019-03-01
88,25,2020-05-17
89,25,2019-10-04
90,25,2019-08-28
91,25,2020-09-18
92,26,2018-06-15
93,26,2019-04-23
94,26,2019-11-10
95,26,2019-12-18
96,26,2018-07-04
97,26,2019-02-17
98,27,2020-08-07
99,27,2019-08-24
100,27,2019-05-14
101,28,2019-02-09
102,28,2019-06-22
103,28,2019-09-14
104,28,2020-09-18
105,29,2019-06-11
106,29,2018-04-15
107,29,2018-03-11
108,29,2018-12-25
109,30,2019-06-08
110,30,2019-05-16
111,30,2019-04-06
112,30,2020-02-22
113,30,2018-03-06
114,31,2018-03-25
115,31,2020-07-17
116,31,2018-09-11
117,31,2018-06-25
118,32,2019-02-12
119,32,2020-04-16
120,32,2019-01-22
121,32,2018-09-21
122,32,2018-09-10
123,33,2019-02-28
124,33,2018-04-08
125,34,2018-06-12
126,34,2018-12-01
127,34,2020-02-20
128,34,2020-03-17
129,35,2019-12-10
130,35,2019-07-18
131,35,2019-01-03
132,36,2018-06-10
133,36,2020-09-04
134,36,2018-05-19
135,37,2020-10-12
136,37,2019-09-26
137,38,2018-12-21
138,38,2020-02-25
139,38,2019-07-11
140,38,2018-01-06
141,38,2019-01-01
142,39,2018-10-05
143,39,2019-12-02
144,40,2019-09-13
145,40,2018-05-06
146,40,2018-04-26
147,40,2018-12-13
148,41,2018-07-17
149,41,2018-01-28
150,41,2019-06-08
151,42,2019-11-14
152,42,2019-09-10
153,42,2019-07-06
154,42,2020-07-04
155,42,2018-01-15
156,42,2018-01-22
157,42,2019-06-21
158,42,2019-01-04
159,42,2020-04-12
160,43,2020-11-10
161,43,2020-07-17
162,43,2018-10-23
163,43,2019-03-20
164,43,2020-09-12
165,44,2018-08-24
166,44,2019-07-19
167,44,2020-04-04
168,44,2018-01-18
169,44,2018-01-24
170,44,2020-10-15
171,44,2019-11-25
172,44,2020-09-15
173,45,2020-03-07
174,45,2019-02-05
175,45,2020-12-13
176,45,2018-03-25
177,46,2020-04-28
178,46,2019-12-23
179,46,2020-06-24
180,46,2019-03-19
181,47,2019-01-13
182,47,2019-07-27
183,47,2019-12-21
184,47,2019-01-01
185,48,2018-04-26
186,48,2018-10-21
187,48,2018-11-15
188,49,2020-03-17
189,49,2020-10-04
190,49,2020-05-26
191,49,2019-08-25
192,49,2020-07-23
193,49,2018-01-05
194,49,2018-11-21
195,50,2020-09-27
196,50,2020-06-11
197,50,2018-10-24
198,50,2019-07-23
199,50,2020-10-10
200,50,2018-07-28